Title,Book_category,Star_rating,Price,Stock,Quantity,Source_File,Sharp Objects,Mystery,Four,47.82,In stock,20,Soumission,Fiction,One,50.1,Issue_Date,Return_Date,Random_Book_Sum
The New Drawing on the Right Side of the Brain,Art,Three,43.02,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-03-26,2025-04-16,88.0
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,Four,28.45,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-08-21,2025-09-16,24.0
The Martian (The Martian #1),Default,Two,41.39,In stock,8.0,,,,,,,,,,,,2024-10-27,2024-11-05,21.0
The High Mountains of Portugal,Fiction,One,51.15,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-04,2025-06-03,23.0
The Grownup,,One,35.88,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-12-13,2025-01-06,68.0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,One,36.91,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-07-05,2025-07-13,88.0
South of Sunshine,Young Adult,One,28.93,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-19,2025-05-22,79.0
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,Five,38.89,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-11-09,2024-11-24,58.0
Silence in the Dark (Logan Point #4),Suspense,Three,58.33,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-10-25,2024-11-21,97.0
Shadows of the Past (Logan Point #1),Christian Fiction,Five,39.67,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-04-03,2025-04-13,88.0
Roller Girl,Sequential Art,Five,14.1,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-09-25,2025-10-19,24.0
Rising Strong,Nonfiction,Three,21.82,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-25,2025-06-08,86.0
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,One,54.21,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-04-04,2025-04-23,1.0
Please Kill Me: The Uncensored Oral History of Punk,Music,Four,31.19,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-02-01,2025-02-20,7.0
Out of Print: City Lights Spotlight No. 14,Poetry,Five,53.64,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-04-21,2025-05-17,43.0
My Life Next Door (My Life Next Door ),Young Adult,Five,36.39,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-12-05,2024-12-05,59.0
Miller's Valley,Fiction,Two,58.54,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-06-20,2025-07-17,93.0
Man's Search for Meaning,Nonfiction,Three,29.48,In stock,8.0,,,,,,,,,,,,2025-04-24,2025-05-17,24.0
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,Two,25.06,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-12-08,2024-12-31,72.0
,Nonfiction,,12.55,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-06-24,2025-07-04,68.0
Les Fleurs du Mal,Poetry,Five,29.04,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-11-22,2024-11-27,31.0
Left Behind (Left Behind #1),Default,,40.72,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-11,2025-06-07,96.0
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,Five,45.05,,8.0,books_scraped.csv,,,,,,,,,,,2025-09-06,2025-09-06,99.0
Kierkegaard: A Christian Missionary to Christians,Philosophy,One,47.13,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-02-26,2025-03-05,1.0
John Vassos: Industrial Design for Modern Life,Default,Four,20.22,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-02-06,2025-03-04,28.0
I'll Give You the Sun,Default,One,56.48,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-01-25,2025-01-29,74.0
,Nonfiction,One,44.21,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-19,2025-06-03,50.0
Hystopia: A Novel,Fiction,Four,21.96,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-04-25,2025-05-20,92.0
Howl and Other Poems,Poetry,Two,40.45,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-10-03,2025-10-25,74.0
History of Beauty,Art,Four,10.29,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-07-31,2025-08-20,34.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,Two,52.86,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-12-09,2024-12-11,56.0
Future Shock (Future Shock #1),,Five,55.65,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-07-16,2025-07-19,52.0
Ender's Game (The Ender Quintet #1),Default,One,43.64,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-02-19,2025-02-27,54.0
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,One,28.41,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-11-18,2024-12-07,47.0
Death by Leisure: A Cautionary Tale,Default,Four,37.51,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-12-28,2025-01-12,91.0
Brilliant Beacons: A History of the American Lighthouse,History,Three,11.45,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-03-06,2025-03-12,8.0
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,Two,19.22,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-05-10,2025-05-14,80.0
Between the World and Me,Nonfiction,,56.91,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-02-04,2025-02-17,56.0
Being Mortal: Medicine and What Matters in the End,Nonfiction,Four,55.06,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-09-17,2025-10-13,94.0
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,Three,13.2,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-01-29,2025-02-06,89.0
32 Yolks,Food and Drink,Two,53.63,In stock,8.0,books_scraped.csv,,,,,,,,,,,2025-06-29,2025-07-06,86.0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,Five,44.48,In stock,8.0,books_scraped.csv,,,,,,,,,,,2024-11-28,2024-12-13,39.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,Three,12.08,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-06-28,,60.0
Wildlife of New York: A Five-Borough Coloring Book,Default,Two,22.14,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-12-29,2025-01-23,49.0
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,Five,25.37,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-10-08,2025-10-13,55.0
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,Two,46.33,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-11-16,2024-12-15,57.0
Under the Tuscan Sun,Travel,Three,37.33,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-06-20,2025-07-20,36.0
Toddlers Are A**holes: It's Not Your Fault,Humor,One,25.55,In stock,7.0,,,,,,,,,,,,2025-01-28,2025-02-14,5.0
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,One,34.72,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-09,2025-05-04,4.0
The Whale,Childrens,Four,35.96,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-07-22,,28.0
The Story of Art,Art,Four,41.14,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-10-13,2025-11-10,12.0
The Origin of Species,Science,Four,10.01,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-05-25,2025-06-22,50.0
The Great Gatsby,Default,Four,36.05,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-20,2025-05-10,45.0
The Good Girl,Default,Three,49.03,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-07-26,2025-08-25,42.0
The Glass Castle,Add a comment,One,16.24,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-25,2025-05-22,98.0
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,One,39.55,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-07-13,2025-08-04,23.0
The Drowning Girls,Add a comment,Three,35.67,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-09-21,2025-09-30,57.0
The Constant Princess (The Tudor Court #1),Historical Fiction,Three,16.62,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-08-25,2025-08-28,43.0
The Bourne Identity (Jason Bourne #1),Fiction,Four,42.78,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-09-26,2025-10-11,6.0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,Five,52.3,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-02-25,2025-03-16,41.0
The Art Book,Art,Two,32.34,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-03-17,2025-04-12,10.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,Four,33.17,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-05-14,2025-05-29,24.0
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,Five,20.12,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-11-03,2024-11-22,62.0
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,Two,20.9,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-01-25,2025-02-08,78.0
"Sit, Stay, Love",Romance,Three,20.9,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-08-05,2025-08-28,50.0
Sister Dear,Fiction,,40.2,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-04,2025-04-15,57.0
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,Three,52.87,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-05,2025-05-04,62.0
"Rich Dad, Poor Dad",Business,One,51.74,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-09-07,2025-09-21,95.0
Raymie Nightingale,Childrens,Two,34.41,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-09-12,2025-10-09,36.0
Playing from the Heart,Childrens,One,32.38,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-06-10,2025-07-01,20.0
Nightstruck: A Novel,Young Adult,Four,50.35,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-05-17,2025-06-10,73.0
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,Five,11.38,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-05-14,2025-05-30,39.0
Meternity,Womens Fiction,Three,43.58,In stock,7.0,,,,,,,,,,,,2025-02-22,2025-02-24,35.0
Memoirs of a Geisha,,Three,49.67,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-06-19,2025-07-09,43.0
Like Never Before (Walker Family #2),Christian Fiction,Two,,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-30,2025-05-29,25.0
Life of Pi,Default,Four,13.22,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-04-03,2025-04-30,80.0
Leave This Song Behind: Teen Poetry at Its Best,Poetry,Five,51.17,In stock,,books_scraped.csv,,,,,,,,,,,2025-09-30,2025-10-13,48.0
King's Folly (The Kinsman Chronicles #1),Fantasy,Five,39.61,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-10-30,2024-11-01,22.0
John Adams,Add a comment,Four,57.43,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-10-08,2025-10-22,37.0
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,Four,46.01,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-08-04,2025-09-02,42.0
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,Two,28.25,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-10-22,2024-10-26,65.0
Good in Bed (Cannie Shapiro #1),Add a comment,Five,37.05,In stock,7.0,books_scraped.csv,,,,,,,,,,,,2025-03-15,85.0
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,One,19.57,,7.0,books_scraped.csv,,,,,,,,,,,2024-12-12,2025-01-03,88.0
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,Three,45.13,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-12-12,2024-12-28,87.0
Finding God in the Ruins: How God Redeems Pain,Nonfiction,Two,46.64,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-07-29,2025-08-06,17.0
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,Five,12.16,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-03-13,2025-03-25,64.0
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,Four,20.89,In stock,,books_scraped.csv,,,,,,,,,,,2025-04-07,2025-05-06,17.0
Counted With the Stars (Out from Egypt #1),Christian Fiction,Five,17.97,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-11-06,2024-11-27,69.0
"Chronicles, Vol. 1",Music,Two,52.6,,7.0,books_scraped.csv,,,,,,,,,,,2025-05-05,2025-06-04,88.0
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,One,25.77,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-02-28,2025-03-28,30.0
Benjamin Franklin: An American Life,Biography,Three,48.19,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-02-23,2025-03-03,4.0
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,Five,29.93,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-11-16,2024-11-25,40.0
A Summer In Europe,Travel,Two,44.34,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-05-15,2025-06-13,2.0
A Short History of Nearly Everything,History,Five,52.4,In stock,7.0,books_scraped.csv,,,,,,,,,,,2024-12-06,2024-12-12,16.0
A Gathering of Shadows (Shades of Magic #2),Fantasy,Four,44.81,In stock,7.0,books_scraped.csv,,,,,,,,,,,2025-02-18,2025-03-03,56.0
The Sound Of Love,Default,Five,57.84,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-04-04,2025-04-30,33.0
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,Two,39.67,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-09-04,2025-09-04,95.0
The Perks of Being a Wallflower,Default,Three,55.02,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-05-08,2025-05-21,98.0
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Four,24.8,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-05-01,2025-05-10,7.0
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,Four,59.45,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-02-25,2025-03-19,78.0
The Makings of a Fatherless Child,Default,Two,31.58,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-08-04,2025-08-11,36.0
The Joy of Cooking,Add a comment,Four,43.27,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-11-19,2024-12-08,6.0
The Invention of Wings,Historical Fiction,One,37.34,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-11-30,2024-12-26,
The Hobbit (Middle-Earth Universe),Default,Five,17.8,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-08-14,2025-08-27,60.0
The Great Railway Bazaar,Travel,One,30.54,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-09-30,2025-10-06,60.0
The Golden Compass (His Dark Materials #1),Add a comment,One,18.77,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-03-03,2025-03-15,3.0
The God Delusion,,Three,46.85,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-05-12,2025-06-08,32.0
The Girl You Left Behind (The Girl You Left Behind #1),Historical,One,15.79,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-13,2025-01-27,89.0
The Fellowship of the Ring (The Lord of the Rings #1),Default,Two,10.27,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-09-26,2025-10-06,30.0
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,Five,15.42,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-02,2025-01-19,84.0
The Barefoot Contessa Cookbook,Food and Drink,Five,59.92,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-10-04,2025-10-14,20.0
Tell the Wolves I'm Home,Young Adult,Two,50.96,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-10-07,2025-10-22,22.0
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,Three,30.6,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-12-26,2025-01-06,42.0
Pride and Prejudice,Add a comment,Four,19.27,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-07-23,2025-07-27,7.0
Musicophilia: Tales of Music and the Brain,Default,One,46.58,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-08-06,2025-08-22,60.0
,Add a comment,Three,48.51,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-11-17,2024-12-11,7.0
Me Before You (Me Before You #1),Fiction,One,19.02,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-29,2025-02-14,75.0
In the Woods (Dublin Murder Squad #1),Mystery,Two,38.38,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-03-11,2025-03-22,90.0
In Cold Blood,Nonfiction,Four,49.98,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-10-08,2025-11-07,91.0
How to Stop Worrying and Start Living,Self Help,Five,,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-10-06,2025-10-10,86.0
Give It Back,Thriller,Two,18.32,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-31,2025-03-02,7.0
"Girl, Interrupted",Nonfiction,Three,42.14,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-06-28,2025-07-25,60.0
Fun Home: A Family Tragicomic,Add a comment,Four,56.59,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-11-14,2024-11-22,49.0
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,Four,20.96,In stock,6.0,books_scraped.csv,,,,,,,,,,,2024-11-16,2024-11-19,69.0
Deception Point,Fiction,Four,40.32,,6.0,books_scraped.csv,,,,,,,,,,,2025-06-25,2025-06-27,64.0
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,Three,36.39,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-31,2025-02-18,26.0
Catherine the Great: Portrait of a Woman,History,Four,58.55,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-09-06,,1.0
Better Homes and Gardens New Cook Book,Food and Drink,Three,39.61,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-02-27,2025-03-10,84.0
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,Three,21.3,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-01-18,2025-01-25,100.0
A Year in Provence (Provence #1),Travel,Four,56.88,In stock,6.0,books_scraped.csv,,,,,,,,,,,2025-07-19,2025-07-25,68.0
World Without End (The Pillars of the Earth #2),Historical Fiction,Four,32.97,In stock,,books_scraped.csv,,,,,,,,,,,2025-04-01,2025-04-21,85.0
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,Four,47.31,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-04-06,2025-05-06,24.0
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,Two,48.67,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-18,2025-05-27,80.0
Where She Went (If I Stay #2),Young Adult,Four,41.73,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-09-10,2025-09-22,5.0
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,,Four,53.68,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-29,2025-04-07,5.0
Two Summers,Young Adult,One,14.64,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-10,2025-05-21,11.0
This Is Your Brain on Music: The Science of a Human Obsession,Music,One,38.4,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-11-09,2024-11-13,19.0
The Secret Garden,Classics,Four,15.08,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-27,2024-12-27,11.0
The Raven King (The Raven Cycle #4),Add a comment,Two,30.57,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-02-02,2025-02-15,100.0
The Raven Boys (The Raven Cycle #1),Fantasy,Four,57.74,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-08-24,2025-08-24,63.0
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,Five,11.05,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-07-07,2025-07-21,77.0
The Metamorphosis,Classics,One,28.58,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-22,2025-06-14,55.0
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,Five,42.91,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-02-15,2025-03-14,84.0
The Little Paris Bookshop,Fiction,Three,24.73,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-04-12,2025-05-05,53.0
The Hiding Place,History,Four,55.91,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-01-16,2025-01-27,38.0
The Grand Design,,Three,13.76,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-21,2025-06-03,55.0
The Firm,Fiction,Three,45.56,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-30,2025-06-19,5.0
The Fault in Our Stars,Default,One,47.22,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-10,2025-05-26,
The False Prince (The Ascendance Trilogy #1),Fantasy,Five,56.0,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-06,2025-05-22,70.0
The Expatriates,Fiction,Two,44.58,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-07,2025-06-07,93.0
The Dream Thieves (The Raven Cycle #2),Default,One,34.5,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-10-31,2024-11-30,16.0
The Darkest Corners,Young Adult,Five,11.33,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-11,2025-05-21,34.0
The Crossover,Poetry,Four,38.77,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-08-22,2025-09-18,88.0
The 5th Wave (The 5th Wave #1),Default,Two,11.83,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-13,2024-12-30,46.0
Tell the Wind and Fire,Fantasy,Three,45.51,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-20,2025-07-19,71.0
Tell Me Three Things,Young Adult,One,41.81,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-03,2025-06-30,27.0
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,Four,25.15,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-07-24,2025-08-14,20.0
Siddhartha,Fiction,Five,34.22,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-04-04,2025-05-03,10.0
Shiver (The Wolves of Mercy Falls #1),Default,Five,16.23,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-02-05,2025-03-05,75.0
Remember Me?,Default,Three,11.48,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-01-25,2025-02-17,98.0
Red Dragon (Hannibal Lecter #1),Horror,Three,23.37,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-11-17,2024-12-11,99.0
Peak: Secrets from the New Science of Expertise,Science,Two,16.28,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-08,2025-06-19,17.0
My Mother Was Nuts,Nonfiction,Four,31.63,,5.0,books_scraped.csv,,,,,,,,,,,2025-10-06,2025-11-03,46.0
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,Five,24.91,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-28,2025-07-09,84.0
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,One,22.54,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-18,2025-04-13,28.0
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,Four,23.63,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-13,2025-06-29,95.0
Logan Kade (Fallen Crest High #5.5),,Two,13.12,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-21,2025-04-11,76.0
Last One Home (New Beginnings #1),Fiction,Three,59.98,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-08-27,,54.0
Killing Floor (Jack Reacher #1),Thriller,Four,31.49,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-01-04,2025-01-07,52.0
Kill the Boy Band,Young Adult,Five,15.52,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-09-09,2025-09-13,67.0
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,Five,48.13,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-30,2025-04-12,2.0
If I Stay (If I Stay #1),Default,Five,38.13,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-13,2024-12-19,29.0
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,Two,36.55,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-04-17,2025-04-20,47.0
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,One,23.32,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-02,2024-12-17,63.0
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,One,16.33,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-11-04,2024-11-16,86.0
Foundation (Foundation (Publication Order) #1),Science Fiction,One,32.42,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-05-04,2025-05-13,95.0
Fool Me Once,Default,One,16.96,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-29,2025-01-02,29.0
Find Her (Detective D.D. Warren #8),Add a comment,One,22.37,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-10,2025-04-06,72.0
Evicted: Poverty and Profit in the American City,Add a comment,One,42.27,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-03-31,2025-04-27,44.0
Drama,Default,Two,38.7,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-01-26,2025-02-14,23.0
Dracula the Un-Dead,Horror,Five,35.63,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-08-12,2025-08-23,77.0
Digital Fortress,Fiction,Five,58.0,In stock,5.0,books_scraped.csv,,,,,,,,,,,2024-12-14,2024-12-25,26.0
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,One,52.41,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-02,2025-06-02,47.0
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,Three,32.35,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-24,2025-06-24,64.0
Critique of Pure Reason,Philosophy,One,20.75,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-06-21,2025-07-19,53.0
Booked,Poetry,Five,17.49,In stock,5.0,books_scraped.csv,,,,,,,,,,,2025-09-23,2025-10-02,95.0
