Title,Book_category,Star_rating,Price,Stock,Quantity
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,Five,55.55,In stock,3
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,Four,58.64,In stock,3
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,One,23.21,In stock,3
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,Three,42.57,In stock,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,One,10.92,In stock,3
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,One,34.77,In stock,3
The Red Tent,Historical Fiction,Five,35.66,In stock,3
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,Three,37.19,In stock,3
The Purest Hook (Second Circle Tattoos #3),Romance,One,12.25,In stock,3
The Picture of Dorian Gray,Classics,Two,29.7,In stock,3
The Paris Wife,Default,Three,36.8,In stock,3
The Obsession,Romance,One,45.43,In stock,3
The Nightingale,Fiction,Four,26.26,In stock,3
The New Guy (and Other Senior Year Distractions),Young Adult,Three,44.92,In stock,3
The Nanny Diaries (Nanny #1),Womens Fiction,Five,52.53,In stock,3
The Name of God is Mercy,Nonfiction,Two,37.25,In stock,3
The Maze Runner (The Maze Runner #1),Default,One,20.93,In stock,3
The Lover's Dictionary,Default,Two,58.09,In stock,3
The Lonely Ones,Childrens,Five,43.59,In stock,3
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,Three,33.92,In stock,3
The Last Painting of Sara de Vos,Historical Fiction,Two,55.55,In stock,3
"The Land of 10,000 Madonnas",Young Adult,Four,29.64,In stock,3
The Infinities,Fiction,One,27.41,In stock,3
The Husband's Secret,Fiction,Five,52.51,In stock,3
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Add a comment,Three,47.8,In stock,3
The Guns of August,History,Two,14.54,In stock,3
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,One,49.53,In stock,3
The Goldfinch,Default,Three,43.58,In stock,3
The Giver (The Giver Quartet #1),Default,One,12.3,In stock,3
The Girl with All the Gifts,Horror,Three,49.47,In stock,3
The Girl Who Played with Fire (Millennium Trilogy #2),Default,Two,22.14,In stock,3
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),Add a comment,One,57.48,In stock,3
The Exiled,Mystery,Three,43.45,In stock,3
"The End of Faith: Religion, Terror, and the Future of Reason",Add a comment,Four,22.13,In stock,3
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,Five,57.35,In stock,3
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,One,44.29,In stock,3
The Demon-Haunted World: Science as a Candle in the Dark,Default,Four,52.25,In stock,3
The Day the Crayons Came Home (Crayons),Childrens,Five,26.33,In stock,3
The Da Vinci Code (Robert Langdon #2),Fiction,Two,22.96,In stock,3
The Cuckoo's Calling (Cormoran Strike #1),Mystery,One,19.21,In stock,3
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,Four,26.78,In stock,3
The Complete Poems,Add a comment,Five,41.32,In stock,3
The Catcher in the Rye,Add a comment,One,24.55,In stock,3
The Cat in the Hat (Beginner Books B-1),Childrens,Two,16.26,In stock,3
The Case for Christ (Cases for Christianity),Add a comment,One,47.84,In stock,3
The Book Thief,Default,Two,53.49,In stock,3
The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,Five,44.84,In stock,3
The Blind Side: Evolution of a Game,Add a comment,Five,53.71,In stock,3
The Autobiography of Malcolm X,Default,Two,23.43,In stock,3
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",Food and Drink,Three,34.32,In stock,3
The Art of Fielding,Fiction,One,22.1,In stock,3
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,Two,25.83,In stock,3
Stiff: The Curious Lives of Human Cadavers,Nonfiction,Three,36.74,In stock,3
Spilled Milk: Based on a True Story,Nonfiction,One,49.51,In stock,3
Something Borrowed (Darcy & Rachel #1),Womens Fiction,Five,48.96,In stock,3
Something Blue (Darcy & Rachel #2),Womens Fiction,One,54.62,In stock,3
Soldier (Talon #3),Fantasy,Two,24.72,In stock,3
Shopaholic & Baby (Shopaholic #5),Default,Two,46.45,In stock,3
Seven Days in the Art World,Add a comment,Two,52.33,In stock,3
Seven Brief Lessons on Physics,Science,Four,30.6,In stock,3
Scarlet (The Lunar Chronicles #2),Young Adult,Four,14.57,In stock,3
Sarah's Key,Add a comment,One,46.29,In stock,3
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,Five,21.57,In stock,3
Running with Scissors,Autobiography,Four,12.91,In stock,3
Rogue Lawyer (Rogue Lawyer #1),Add a comment,Three,50.11,In stock,3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,Four,41.67,In stock,3
Rework,Business,Two,44.88,In stock,3
Reservations for Two,Romance,Three,11.1,In stock,3
Red: The True Story of Red Riding Hood,Childrens,Three,28.54,In stock,3
Ready Player One,Science Fiction,Four,19.07,In stock,3
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,One,43.55,In stock,3
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,Three,43.63,In stock,3
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,One,39.13,In stock,3
Packing for Mars: The Curious Science of Life in the Void,Default,Two,56.68,In stock,3
Outliers: The Story of Success,Nonfiction,One,14.16,In stock,3
Original Fake,Sequential Art,Three,31.45,In stock,3
Orange Is the New Black,Default,Two,24.61,In stock,3
One for the Money (Stephanie Plum #1),Default,Two,32.87,In stock,3
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,One,40.17,In stock,3
Night (The Night Trilogy #1),Nonfiction,One,13.51,In stock,3
Neither Here nor There: Travels in Europe,Travel,Three,38.95,In stock,3
Naked,Humor,Three,31.69,In stock,3
Morning Star (Red Rising #3),Default,One,29.4,In stock,3
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,One,57.83,In stock,3
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,Two,55.46,In stock,3
Me Talk Pretty One Day,Autobiography,Two,57.6,In stock,3
Manuscript Found in Accra,Add a comment,Two,34.98,In stock,3
Lust & Wonder,Autobiography,Two,11.87,In stock,3
Lila (Gilead #3),Fiction,Three,12.47,In stock,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,Two,33.26,In stock,3
Life Without a Recipe,Autobiography,Five,59.04,In stock,3
Life After Life,Default,Two,26.13,In stock,3
Letter to a Christian Nation,Nonfiction,One,22.2,In stock,3
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,One,45.11,In stock,3
Legend (Legend #1),Young Adult,Four,43.69,In stock,3
"Lean In: Women, Work, and the Will to Lead",Default,One,25.02,In stock,3
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,Five,55.5,In stock,3
Lady Renegades (Rebel Belle #3),Young Adult,Five,53.04,In stock,3
Jurassic Park (Jurassic Park #1),Fiction,One,44.97,In stock,3
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,One,42.38,In stock,3
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,Three,20.11,In stock,3
Into the Wild,Nonfiction,Five,56.7,In stock,3
Inferno (Robert Langdon #4),Fiction,Five,41.0,In stock,3
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,Three,28.85,In stock,3
If I Run (If I Run #1),Christian Fiction,Four,49.97,In stock,3
I've Got Your Number,Womens Fiction,One,19.69,In stock,3
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Nonfiction,Two,28.88,In stock,3
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,Three,33.14,In stock,3
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,Two,43.7,In stock,3
House of Leaves,Horror,One,54.89,In stock,3
Horrible Bear!,Childrens,Two,37.52,In stock,3
Holidays on Ice,Humor,Two,51.07,In stock,3
Heir to the Sky,Fantasy,Four,44.07,In stock,3
Green Eggs and Ham (Beginner Books B-16),Childrens,Four,10.79,In stock,3
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,One,42.72,In stock,3
Gratitude,Nonfiction,Five,26.66,In stock,3
Gone Girl,Default,Five,37.6,In stock,3
Golden (Heart of Dread #3),Young Adult,Four,42.21,In stock,3
Girl in the Blue Coat,Historical Fiction,Two,46.83,In stock,3
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,Two,45.17,In stock,3
"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,Three,51.22,In stock,3
Fire Bound (Sea Haven/Sisters of the Heart #5),Add a comment,Four,21.28,In stock,3
Fifty Shades Freed (Fifty Shades #3),Adult Fiction,Five,15.36,In stock,3
Fellside,Default,One,38.62,In stock,3
Extreme Prey (Lucas Davenport #26),Mystery,Three,25.4,In stock,3
Eragon (The Inheritance Cycle #1),Fantasy,Three,43.87,In stock,3
Eclipse (Twilight #3),Default,One,18.74,In stock,3
Dune (Dune #1),Science Fiction,One,54.86,In stock,3
Dracula,Default,Three,52.62,In stock,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,One,51.48,In stock,3
Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,Five,15.28,In stock,3
Dead Wake: The Last Crossing of the Lusitania,Default,Five,39.24,In stock,3
Darkfever (Fever #1),Fantasy,One,56.02,In stock,3
Dark Places,Default,Five,23.9,In stock,3
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,Five,49.13,In stock,3
Counting Thyme,Childrens,One,10.62,In stock,3
Cosmos,Add a comment,Two,36.17,In stock,3
Civilization and Its Discontents,Psychology,Two,59.95,In stock,3
Cinder (The Lunar Chronicles #1),Young Adult,One,26.09,In stock,3
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,Two,37.35,In stock,3
Career of Evil (Cormoran Strike #3),Mystery,Two,24.72,In stock,3
Breaking Dawn (Twilight #4),Default,Five,35.28,In stock,3
Brave Enough,Nonfiction,Five,51.32,In stock,3
Boy Meets Boy,Young Adult,Three,21.12,In stock,3
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,Two,27.35,In stock,3
Blink: The Power of Thinking Without Thinking,Nonfiction,Five,21.74,In stock,3
Black Flags: The Rise of ISIS,Nonfiction,One,40.87,In stock,3
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,One,49.31,In stock,3
Big Little Lies,Fiction,One,22.11,In stock,3
Between Shades of Gray,Historical Fiction,Five,20.79,In stock,3
Best of My Love (Fool's Gold #20),Romance,Two,27.41,In stock,3
Beowulf,Classics,Two,38.35,In stock,3
Beautiful Creatures (Caster Chronicles #1),Default,Five,21.55,In stock,3
Awkward,Sequential Art,Two,38.02,In stock,3
Ash,Fantasy,Four,22.06,In stock,3
Are We There Yet?,Childrens,Three,10.66,In stock,3
Are We Smart Enough to Know How Smart Animals Are?,Nonfiction,One,56.58,In stock,3
Annie on My Mind,Young Adult,Five,36.83,In stock,3
And Then There Were None,Classics,Two,35.01,In stock,3
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction,Four,30.48,In stock,3
A Visit from the Goon Squad,Default,Five,14.08,In stock,3
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,Two,31.22,In stock,3
A Heartbreaking Work of Staggering Genius,Autobiography,Five,54.29,In stock,3
8 Keys to Mental Health Through Exercise,Psychology,One,31.04,In stock,3
#GIRLBOSS,Add a comment,One,50.96,In stock,3
"The Suffragettes (Little Black Classics, #96)",Nonfiction,Two,11.89,In stock,2
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,One,54.81,In stock,2
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,Three,11.75,In stock,2
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,One,20.02,In stock,2
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,Five,11.64,In stock,2
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,Four,18.51,In stock,1
"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,One,15.4,In stock,1
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,Two,36.52,In stock,1
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,Three,54.12,In stock,1
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,Three,42.12,In stock,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,One,28.48,In stock,1
"Rhythm, Chord & Malykhin",Romance,Two,28.34,In stock,1
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,Five,46.96,In stock,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,Four,21.71,In stock,1
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,Three,29.87,In stock,1
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,Four,39.39,In stock,1
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,Three,45.24,In stock,1
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,Four,56.76,In stock,1
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,Five,40.28,In stock,1
"Eat, Pray, Love",Nonfiction,Three,51.32,In stock,1
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,Five,34.65,In stock,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,Four,57.06,In stock,1
"1,000 Places to See Before You Die",Travel,Five,26.08,In stock,1
